"Time","Sex","a0-4","a5-9","a10-14","a15-19","a20-24","a25-29","a30-34","a35-39","a40-44","a45-49","a50-54","a55-59","a60-64","a65-69","a70-74","a75-79","a80+","a80-84","a85-89","a90-94","a95-99","a100+"
"1998","Male","5,686435556","6,108600314","7,042358213","7,270799948","7,131648091","6,901359616","6,977906988","7,765079902","8,120485009","7,85589334","6,0754975","5,238924292","6,158092945","5,154343602","3,382073418","1,618575249","none","0,769952063","0,53961742","0,170823448","0,029824851","0,001708234"
"1999","Female","5,118665262","5,241673255","6,151958386","6,457594932","6,33943625","6,378187448","6,40711013","7,223656329","7,378271445","7,164079068","6,164428045","5,144167447","6,621042723","6,261241095","5,194868735","3,653740075","none","1,470207473","1,160241184","0,397686878","0,067717178","0,004026661"
"1999","Male","5,808827502","5,923880539","6,927683344","7,257051773","7,089735779","7,023265867","6,873231118","7,703569346","8,01859108","7,903677784","6,459273088","4,914255211","6,075918235","5,255687905","3,564082212","1,764876311","none","0,720222691","0,513313546","0,170762927","0,030183954","0,001909787"
"2000","Female","5,137639369","5,111075208","6,041169224","6,439239708","6,314388151","6,442505793","6,360069798","7,150680195","7,359579015","7,199627928","6,412196521","5,013353934","6,466457086","6,347919961","5,275163337","3,883985164","none","1,522082874","1,076458187","0,386399672","0,055654095","0,00435478"
"2000","Male","5,841361963","5,786383556","6,805782678","7,233319542","7,062802041","7,100142325","6,842090943","7,632757374","7,954606224","7,939595055","6,757934576","4,792737972","5,90154737","5,346274838","3,733183972","1,910077467","none","0,718706638","0,456011176","0,158133286","0,02448697","0,002064036"
"2001","Female","5,225927858","5,005866694","5,869186933","6,413304779","6,327764311","6,43512722","6,309265528","7,005484473","7,341961142","7,260793908","6,639357274","5,051217137","6,148986481","6,358726811","5,342168433","4,028142639","none","1,721523792","1,004794377","0,437498387","0,068266192","0,004635629"
"2001","Male","5,9406678","5,670710294","6,613086835","7,20089373","7,080645503","7,111803511","6,808472527","7,462790692","7,881043345","7,971877659","7,043359597","4,883652416","5,578414713","5,372941556","3,881929534","2,073680911","none","0,785926574","0,428198704","0,178510402","0,029178225","0,002215471"
"2002","Female","5,086901304","4,989896013","5,67472179","6,37879952","6,375905149","6,412830309","6,333936766","6,833084242","7,338502856","7,311620287","6,821901444","5,294857492","5,740283683","6,387044093","5,440979385","4,112945382","none","2,008518222","0,894536129","0,469107411","0,088716864","0,00491166"
"2002","Male","5,783546108","5,657147881","6,398094856","7,162109272","7,135922055","7,105102442","6,863981516","7,274846658","7,83650101","7,973582109","7,284915029","5,195468193","5,170604518","5,40699851","4,023613874","2,239054311","none","0,871693982","0,387088662","0,190542728","0,036870089","0,002316198"
"2003","Female","4,808480541","5,055024228","5,467716923","6,324645143","6,439174615","6,383996626","6,403941536","6,654790513","7,330413352","7,350358262","6,964551657","5,667824994","5,319272318","6,396297452","5,556458592","4,176130248","none","2,317080135","0,800168697","0,474548274","0,103898044","0,005227851"
"2003","Male","5,469495135","5,735510112","6,170600801","7,103877902","7,207017873","7,088541807","6,971959087","7,090245818","7,798972198","7,950629135","7,480795565","5,642357536","4,765596785","5,417617481","4,155087678","2,401660842","none","0,964564628","0,350268831","0,19047051","0,042316262","0,002414015"
"2004","Female","4,54720425","5,149066632","5,284387784","6,234715331","6,486088889","6,3651973","6,468447867","6,505753569","7,287413593","7,373683027","7,081704325","6,044623426","5,012249732","6,33013522","5,665979356","4,256501332","none","2,573169546","0,775721027","0,448240319","0,103954448","0,005763027"
"2004","Male","5,175146864","5,845603563","5,969869244","7,006585181","7,258953951","7,079401175","7,072436991","6,9441444","7,732328975","7,913066136","7,633740762","6,090297518","4,495404586","5,354036384","4,267339397","2,55410271","none","1,056518855","0,331675194","0,175004738","0,04173773","0,002605647"
"2005","Female","4,413972866","5,191227217","5,166730112","6,103171582","6,496799515","6,367132288","6,496094562","6,409341327","7,194306097","7,380677953","7,1825422","6,345190637","4,896380773","6,160669282","5,755277452","4,368723718","none","2,752355423","0,833562443","0,396447744","0,082875995","0,006520812"
"2005","Male","5,02523002","5,895700106","5,842294706","6,862309399","7,270580881","7,08973293","7,128340387","6,86022251","7,618617142","7,86880674","7,744968818","6,457357969","4,435256861","5,194220644","4,354152744","2,693462961","none","1,146271511","0,331056568","0,146366844","0,0322045","0,002845758"
"2006","Female","4,196467192","5,164855536","5,139299618","5,926501355","6,463661161","6,415947952","6,512742649","6,358127135","7,045223824","7,357191409","7,258101535","6,620571852","4,999955862","5,899665434","5,797530036","4,462442952","none","2,885126367","1,000653243","0,39110707","0,097280215","0,007547603"
"2006","Male","4,780155415","5,869948762","5,816126528","6,66697386","7,236548954","7,152324047","7,175363573","6,840554127","7,461101204","7,807406661","7,797668305","6,765877559","4,586718402","4,960528779","4,412710598","2,83286415","none","1,273587012","0,379748399","0,144507709","0,036103175","0,00318278"
"2007","Female","4,228099054","5,05130557","5,170624963","5,710525315","6,391415372","6,455895607","6,502199316","6,364349594","6,840167737","7,318772063","7,281667181","6,812925059","5,285300718","5,540347026","5,841564367","4,559610607","none","2,965958151","1,190584647","0,362380692","0,117461938","0,008845025"
"2007","Male","4,816837204","5,743062354","5,855526772","6,425987419","7,157077524","7,19995964","7,184681994","6,885268684","7,251551443","7,740578904","7,779225162","6,997066787","4,911073152","4,634647703","4,468782914","2,949014068","none","1,390694152","0,427202968","0,136118593","0,04207302","0,003569544"
"2008","Female","4,427601846","4,859728411","5,235428971","5,495750984","6,28864051","6,471349065","6,483183898","6,411066766","6,614785475","7,263352086","7,267164055","6,934060031","5,678016287","5,174481794","5,865378989","4,659821671","none","3,026437334","1,364507556","0,338600351","0,130404796","0,010239126"
"2008","Male","5,043148415","5,526126364","5,932495663","6,186220079","7,04193775","7,217527067","7,177743994","6,973056747","7,028772129","7,664776573","7,713479831","7,161907088","5,330025392","4,310214471","4,50650625","3,044931498","none","1,493868684","0,470432448","0,127410775","0,045411853","0,004006928"
"2009","Female","4,634271209","4,646092422","5,279816122","5,335144734","6,16347405","6,455271372","6,480202578","6,467581433","6,427407083","7,181653832","7,23667136","7,018156673","6,066193463","4,936956491","5,834035496","4,762838016","none","3,099291083","1,505827058","0,328994148","0,128389044","0,011732332"
"2009","Male","5,277281843","5,283881912","5,987028472","6,008837398","6,902046835","7,200197811","7,184462862","7,068387723","6,854602855","7,569658236","7,638576355","7,284324787","5,738282365","4,118682645","4,493451822","3,12790696","none","1,58310803","0,51212715","0,119566481","0,043235239","0,00435222"
"2010","Female","4,737427199","4,495166828","5,25444248","5,251723459","6,021919772","6,410739868","6,497258246","6,513750672","6,314281461","7,065712067","7,20393643","7,08648361","6,379136813","4,899632442","5,731073603","4,867761942","none","3,197970629","1,60212779","0,348213068","0,108092254","0,013149367"
"2010","Male","5,394500975","5,11340497","5,963216717","5,920428724","6,744961018","7,152166478","7,211551607","7,148041178","6,766067203","7,447413221","7,576880477","7,376323754","6,077190114","4,124484278","4,414070726","3,20574165","none","1,661776268","0,550775484","0,112918088","0,033386147","0,004700923"
"2011","Female","4,931903643","4,423702515","5,158451673","5,228943222","5,886983619","6,367766397","6,488085094","6,534468176","6,275134419","6,92516848","7,185978265","7,117499482","6,568059009","4,95507282","5,478078962","4,911865436","none","3,291812201","1,710269894","0,442316578","0,103858741","0,014581374"
