"Time","Sex","a0-4","a5-9","a10-14","a15-19","a20-24","a25-29","a30-34","a35-39","a40-44","a45-49","a50-54","a55-59","a60-64","a65-69","a70-74","a75-79","a80+","a80-84","a85-89","a90-94","a95-99","a100+"
"1997","Female","4,53868181","5,275339942","5,4062471","5,131154076","5,268123253","7,064124515","8,376089929","7,892149507","6,988085664","5,957993384","5,853858352","6,861644503","5,974697931","5,101671815","5,217740029","3,482385196","none","2,737832841","2,033243051","0,697971908","0,132839561","0,008125634"
"1997","Male","5,074381141","5,873961225","6,01037785","5,668997759","5,817672125","7,842513401","9,313020348","8,735883388","7,578653666","6,47602293","6,364621999","7,194765591","6,036133757","4,611805548","3,464741767","1,800341721","none","1,156699194","0,735967161","0,20954117","0,032430464","0,001467796"
"1998","Female","4,56143563","5,140676884","5,456788374","5,206671834","5,225355958","6,579378263","8,299829059","8,076460065","7,136790729","6,16846365","5,720383748","6,602756697","6,365722625","5,024422239","5,111300428","3,904900606","none","2,42410324","2,098357189","0,734855527","0,152462447","0,008884808"
"1998","Male","5,09057933","5,71599277","6,055253835","5,746079533","5,743530235","7,279646264","9,205640804","8,925488112","7,753250279","6,644394049","6,21448399","6,935281556","6,419121935","4,607040626","3,616454148","2,005560397","none","1,028846138","0,7554453","0,217970016","0,038403532","0,001537151"
"1999","Female","4,58422846","4,987276483","5,484485847","5,27901554","5,227773451","6,156221396","8,138590848","8,223626231","7,297219556","6,3918088","5,651848465","6,332076558","6,674194825","5,036178521","5,001405225","4,262298209","none","2,259332009","2,097129932","0,750336391","0,155234512","0,009718739"
"1999","Male","5,106801599","5,538266802","6,075553907","5,822164519","5,722391312","6,78490849","9,005322045","9,07319204","7,941188014","6,835986923","6,125989131","6,66913323","6,716115299","4,674302216","3,744490592","2,204237457","none","0,968222606","0,737052967","0,214930481","0,038118385","0,001631987"
"2000","Female","4,561797707","4,858834263","5,471664861","5,347102918","5,245996203","5,846113713","7,88965337","8,317253212","7,481327668","6,600673107","5,658694345","6,107823914","6,824964016","5,165106047","4,925057129","4,483311436","none","2,297500016","2,012954098","0,760886038","0,13266818","0,01061776"
"2000","Male","5,073587766","5,388649788","6,052846036","5,893780263","5,724177813","6,415354608","8,708950589","9,163018123","8,148861047","7,030246967","6,108772833","6,449595658","6,8621944","4,850054464","3,845902317","2,379598049","none","0,992582214","0,678606369","0,203026977","0,028442224","0,001751493"
"2001","Female","4,581347718","4,753759387","5,396317063","5,443078325","5,307196275","5,616765062","7,551411492","8,350245128","7,661184552","6,785935355","5,738133346","5,903449609","6,812384043","5,376420741","4,816182693","4,537993017","none","2,456979316","1,881165345","0,862433928","0,156055873","0,011561732"
"2001","Male","5,08665229","5,264539578","5,962838162","5,979106285","5,762365768","6,134023406","8,313055855","9,18767884","8,35116665","7,216422327","6,153870314","6,240146228","6,844090206","5,089752897","3,886138344","2,527584018","none","1,084273882","0,640428967","0,239929638","0,034038731","0,001897612"
"2002","Female","4,520696257","4,68933892","5,278807365","5,523133902","5,393073394","5,509764559","7,127928613","8,346251252","7,854297695","6,94985566","5,90485615","5,737815895","6,65874838","5,717723614","4,712961281","4,506779226","none","2,747677423","1,683331828","0,931979533","0,192408523","0,012570531"
"2002","Male","5,011296671","5,185526281","5,828107739","6,05364668","5,832122837","5,980603561","7,824257014","9,170395142","8,56432645","7,400026015","6,280605226","6,069387973","6,699192978","5,434135702","3,890164817","2,671160561","none","1,213730358","0,578968039","0,266825602","0,043447477","0,002072876"
