"Time","Sex","a0-4","a5-9","a10-14","a15-19","a20-24","a25-29","a30-34","a35-39","a40-44","a45-49","a50-54","a55-59","a60-64","a65-69","a70-74","a75-79","a80+","a80-84","a85-89","a90-94","a95-99","a100+"
"1998","Male","4,447889565","5,997337516","6,890128338","7,380575347","7,760182038","7,211947992","6,820431381","6,93776802","7,135704356","7,377956676","6,794597177","5,511901234","5,522552178","5,373363425","4,307186315","2,622499074","none","1,060914586","0,66642679","0,154728251","0,024927741","0,000982002"
"1999","Female","3,898733062","5,169082289","6,236961518","6,506986038","7,09075679","6,755911867","6,369070288","6,555740465","6,888044834","7,218268369","7,180426223","5,878356373","5,916440477","6,194618963","5,364729087","3,947874622","none","1,486417234","1,025149542","0,268016273","0,046383244","0,002032443"
"1999","Male","4,321082116","5,715034513","6,876216661","7,241806014","7,821787011","7,359017286","6,855346903","6,938800515","7,125738639","7,318548766","7,090684564","5,586231755","5,366730708","5,381728463","4,309033072","2,856843628","none","1,020228667","0,641370114","0,149189537","0,02358969","0,000991377"
"2000","Female","3,816943582","4,896694311","6,168634864","6,413286658","7,070634395","6,856884188","6,403018649","6,52821032","6,844518675","7,157949061","7,382064836","6,031443524","5,820766403","6,182317414","5,412143519","4,205347511","none","1,59615113","0,936803449","0,242968913","0,031169873","0,002048724"
"2000","Male","4,236433865","5,439487488","6,802765245","7,150357971","7,829559493","7,502440564","6,915755972","6,948750085","7,109923505","7,285823692","7,300858334","5,741488814","5,264818808","5,340966964","4,343369684","3,001309759","none","1,075336131","0,566441703","0,128769404","0,01434192","0,001000599"
"2001","Female","3,754166953","4,643657872","6,016441643","6,344881162","6,983224017","6,953379289","6,468168901","6,487713019","6,794272959","7,103315862","7,494468646","6,272826055","5,753714612","6,097641922","5,437296569","4,325346877","none","1,832820351","0,898808178","0,298447287","0,037293619","0,002114206"
"2001","Male","4,158150658","5,171709913","6,644648227","7,082566299","7,763182522","7,647282829","7,021212207","6,945024403","7,095303098","7,245555906","7,408545512","5,965067517","5,185119795","5,235523347","4,368747934","3,095792896","none","1,235831929","0,548743756","0,163481475","0,017500155","0,001009624"
"2002","Female","3,77069553","4,400462012","5,802627087","6,335348236","6,829890458","7,035080513","6,563827188","6,446218255","6,740921913","7,058394186","7,499025087","6,603889048","5,725996703","5,971273392","5,506114822","4,354825683","none","2,148747677","0,813451469","0,342247696","0,048758033","0,002205013"
"2002","Male","4,183191565","4,90701016","6,423423303","7,068361051","7,624182502","7,772518184","7,161916191","6,935561319","7,085019767","7,219934477","7,419186297","6,276654272","5,143731035","5,088898271","4,413776393","3,127869745","none","1,430691256","0,50109313","0,19209745","0,023839197","0,001044434"
"2003","Female","3,839011669","4,17652613","5,541938026","6,356326792","6,643909386","7,088153215","6,680159922","6,414996737","6,686676031","7,021019818","7,426666314","6,971412508","5,754148464","5,826150218","5,59698791","4,347068425","none","2,472950659","0,734797369","0,361132235","0,057621376","0,002346798"
"2003","Male","4,276435992","4,656594058","6,153584912","7,080628261","7,448912969","7,861584554","7,328336519","6,933804055","7,078179875","7,208628851","7,364588434","6,625939206","5,156538771","4,927469843","4,463961331","3,129511744","none","1,614276462","0,456321313","0,204795678","0,028801449","0,001105723"
"2004","Female","3,932765034","3,981041581","5,26473485","6,350290502","6,47959819","7,095444923","6,798238497","6,410617318","6,633861759","6,980627746","7,335519489","7,291192612","5,859147701","5,703978476","5,669538354","4,363354604","none","2,726178392","0,71984634","0,34427543","0,057232488","0,002515714"
"2004","Male","4,397820422","4,43484023","5,863486342","7,064493812","7,29345933","7,897532358","7,498779939","6,961767164","7,073251186","7,203815667","7,301075591","6,934513155","5,245109604","4,79245953","4,489878997","3,136758599","none","1,742186631","0,445458413","0,193458348","0,028687033","0,00116765"
"2005","Female","4,037294399","3,822906614","4,993585098","6,276083911","6,372896841","7,048787481","6,901628784","6,442584913","6,584622842","6,92999581","7,263961127","7,50838906","6,048590002","5,634644377","5,697513208","4,431694916","none","2,883778092","0,783198609","0,292771022","0,04236041","0,002712486"
"2005","Male","4,523325633","4,257669279","5,573434472","6,98029254","7,192994139","7,874719748","7,652630715","7,033193806","7,069753982","7,199118705","7,264723762","7,152609453","5,418849379","4,710780117","4,473820961","3,166801327","none","1,805142014","0,470869402","0,157527024","0,020486537","0,001257007"
"2006","Female","4,262010295","3,737555405","4,729290942","6,120709696","6,296064481","6,936170756","6,983611583","6,496557538","6,519371032","6,857485917","7,192126407","7,610688876","6,296038934","5,579061658","5,615568357","4,482506674","none","2,967900162","0,968257821","0,29315212","0,052933437","0,002937908"
"2006","Male","4,780479549","4,163546111","5,278672434","6,80534823","7,114865988","7,777829581","7,777802631","7,131116681","7,039595366","7,164561308","7,210995709","7,237918499","5,637373468","4,64168839","4,381246107","3,216208867","none","1,875135928","0,577991064","0,159892805","0,026356845","0,001374437"
"2007","Female","4,40455909","3,733939647","4,477782175","5,906224503","6,296618891","6,754984074","7,053463408","6,592909771","6,460727169","6,784644058","7,136598901","7,60763137","6,6406953","5,571416838","5,500407954","4,574151376","none","2,992440051","1,164901014","0,273196257","0,069515587","0,003192568"
"2007","Male","4,935145405","4,163341643","4,996075137","6,571640902","7,10738268","7,614533099","7,882336107","7,282922216","7,013924507","7,140644231","7,183626302","7,236953394","5,944260156","4,614694112","4,25365015","3,280919463","none","1,904895856","0,684346245","0,151591219","0,035569496","0,00154768"
"2008","Female","4,485443493","3,809469448","4,245295502","5,646487421","6,34145329","6,536352999","7,0938357","6,716515882","6,418614064","6,710937682","7,090021768","7,527612089","7,025859497","5,621139042","5,378967333","4,684260914","none","3,000500741","1,324991114","0,258309572","0,080455804","0,003476646"
"2008","Male","5,012817118","4,253007619","4,73445644","6,29162965","7,13653103","7,416587528","7,94685956","7,470169976","7,004475871","7,122718301","7,175151967","7,18026678","6,285475464","4,640940163","4,118791657","3,343692424","none","1,914061303","0,763966994","0,144992626","0,041711706","0,00169582"
"2009","Female","4,533987328","3,933531386","4,052613668","5,37336582","6,362224465","6,340295134","7,083566175","6,841324166","6,408383225","6,63758264","7,036806253","7,427613603","7,361721058","5,746739482","5,292391959","4,774556539","none","3,032233242","1,427575965","0,252278795","0,077471441","0,003737657"
"2009","Male","5,053875852","4,39615383","4,519097932","5,994482253","7,136129671","7,239184541","7,953929707","7,657739928","7,031835167","7,106516203","7,171004695","7,119270655","6,581655352","4,738347789","4,013850839","3,375825217","none","1,923057322","0,805816912","0,140188782","0,040191675","0,001845677"
"2010","Female","4,577142188","4,053881554","3,925757578","5,11129915","6,310500613","6,211644069","7,011497732","6,946540876","6,439466817","6,5685383","6,968228254","7,346230831","7,589897998","5,958212318","5,265295326","4,824573063","none","3,103190071","1,468346035","0,260064299","0,055666025","0,004026904"
"2010","Male","5,094326225","4,531547665","4,37982019","5,704509218","7,060681004","7,12098366","7,898704852","7,816461349","7,110082582","7,092219238","7,162535352","7,086560663","6,786517502","4,914721948","3,960558623","3,364633019","none","1,942028455","0,807206805","0,135972226","0,027960017","0,001969406"
