"titreok_1","TITRE1","Ville","villeOk","Fin_type","Annee","titreok_2","Titre2","Deb_ann","Aire_diff","Liste_entites","changement_nom(fusion_nouveau_nom)","date_change","appartenance_affiliation_edition","date_groupe","trou","nonenonenonenonenonenone","source_erreur"
"Le Figaro","FIGARO (LE)","Paris","National","none","2016","Le Figaro","FIGARO (LE)","1826","National ","none","none","none","Dassault","","none","",""
"L'Alsace","ALSACE (L')","Mulhouse","Mulhouse","none","2016","L'Alsace","ALSACE (L'))","1944","Départemental","67,68,90","none","none","EBRA - Crédit Mutuel","2006","none","none","BNF"
"Le Bien public","BIEN PUBLIC (LE)","Dijon","Dijon","none","2016","Le Bien public","BIEN PUBLIC (LE)","1868","Départemental","21","none","none","EBRA - Crédit Mutuel","2006","none","nonenonenone","http://www.bienpublic.com/"
"Le journal de Saone et Loire","JOURNAL DE SAONE ET LOIRE (LE)","Chalons","Chalons","none","2016","Le Courrier de Saone et Loire","COURRIER DE SAONE ET LOIRE (LE)","1826","Départemental","71","none","none","EBRA - Crédit Mutuel","2006","none","nonenonenone","http://www.lejsl.com/"
"Le Dauphiné libéré","DAUPHINE LIBERE (LE)","Grenoble","Grenoble","none","2016","Le Dauphiné libéré","DAUPHINE LIBERE (LE)","1945","Départemental","1,4,5,7,26,38,73,74,84","none","none","EBRA - Crédit Mutuel","2006","none","nonenonenone","http://www.ledauphine.com/france-monde"
"L'Est républicain","EST REPUBLICAIN (L')","Nancy","Nancy","none","2016","L'Est républicain","EST REPUBLICAIN (L')","1889","Départemental","25,39,54,55,57,70,80,90","none","none","EBRA - Crédit Mutuel","2010","none","nonenonenone","http://www.estrepublicain.fr/"
"La liberté de l'est","LIBERTE DE L'EST (LA)","Epinal","Epinal","none","2016","Vosges matin","VOSGES MATIN","1945","Départemental","54,70,88","false,true,VOSGES MATIN","2009","EBRA - Crédit Mutuel","2006","none","nonenonenone","http://www.vosgesmatin.fr/"
"Le Progrès","PROGRES (LE)","Lyon","Lyon","none","2016","Le Progrès","PROGRES (LE)","1859","Départemental","1,38,39,42,43,69","none","none","EBRA - Crédit Mutuel","2006","none","nonenonenone","http://www.leprogres.fr/"
"Dernières nouvelles d'Alsace","DERNIERES NOUVELLES D'ALSACE","Strasbourg","Strasbourg","none","2016","Les dernières nouvelles d'Alsace","DERNIERES NOUVELLES D'ALSACE (LES)","1878","Départemental","67,68,90","none","none","EBRA - Crédit Mutuel","2012","none","nonenonenone","http://www.dna.fr/"
"Le républicain lorrain","LE REPUBLICAIN LORRAIN","Metz","Metz","none","2016","Le républicain lorrain","LE REPUBLICAIN LORRAIN","1919","Départemental","54,55,57,88","none","none","EBRA - Crédit Mutuel","2006","none","nonenonenone","http://www.republicain-lorrain.fr/"
"Franc-tireur","FRANC-TIREUR","None","National","cesse","1972","none","none","1941","National ","none","false,true, "Paris Jour"","1957","Franc Tireur","","none","",""
"Paris presse","PARIS PRESSE","Paris","National","cesse","1970","none","none","1944","National","none","true, true,France SOIR","1965","France soir","","none","",""
