"titreok_1","TITRE1","Ville","villeOk","Fin_type","Annee","titreok_2","Titre2","Deb_ann","Aire_diff","Liste_entites","changement_nom(fusion_nouveau_nom)","date_change","appartenance_affiliation_edition","date_groupe","trou","nonenonenonenonenonenone","source_erreur"
"Le Pays","PAYS (LE)","Rodez","Rodez","cesse","1947","none","none","1945","Départemental","12,48,87","none","Mouvement républicain populaire","none","","none","nonenonenonenonenonenonenonenonenonenone",""
"Le petit bastiais","PETIT BASTIAIS (LE)","Bastia","Bastia","cesse","1972","none","none","1881","Départemental","2A,2B","none","none","none","","none","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb34362263m"
"Le Petit Maçonnais","PETIT MACONNAIS (LE)","Môcon","Macon","cesse","1947","none","none","1881","Départemental","71","none","none","none","","none","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb32836786k"
"Le Petit Varrois","PETIT VARROIS (LE)","Toulon","Toulon","cesse","1975","none","none","1946","Départemental","86","none","PCF","none","","none","none","archives_83_http://data.bnf.fr/34379145/le_petit_varois__la_marseillaise/_http://www.archives_.var.fr/_depot_ad83/datas/ark_cms/_depot_arko/articles/580/le-petit-varois_doc.pdf"
"Le Populaire de l'ouest","POPULAIRE DE L'OUEST (LE)","Nantes","Nantes","fusion","1956","none","none","1874","Départemental","42,44,56,85","[true,false,"L'éclair",1956]","none","none","","none","none","archives_44"
"La Presse du Calvados","PRESSE DU CALVADOS (LA)","Caen","Caen","fusion","1948","none","none","1946","Départemental","14","true,true,La liberté de Normandie","1948","none","","none","none","archives_14"
"Quarante quater","QUARANTE QUATRE","Agen","Agen","cesse","1946","none","none","?","Départemental","47","none","none","none","","none","nonenonenone","http://www.priceminister.com/offer/buy/812515958/quarante-quatre-journal-authentique-de-1945.html"
"Perpignan Soir","Perpignan soir","Perpignan","Perpignan","cesse","1932","none","none","1930","none","66","none","none","none","","none","none","archives_66_http://presselocaleancienne.bnf.fr/ark:/12148/cb328352770"
"Le républicain du midi","REPUBLICAIN DU MIDI (LE)","Perpignan","Perpignan","cesse","1950","none","none","1944","none","66","none","none","none","","none","nonenonenonenone","archives_66"
"La IV république","REPUBLIQUE (LA IV)","Ajaccio","Ajaccio","cesse","1947","none","none","1943","Départemental","2A,2B","none","none","none","","none","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb32846540x"
"La république du Var","REPUBLIQUE DU VAR (LA)","Toulon","Toulon","cesse","1944","none","none","1894","Départemental","83","none","none","none","","none","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb32853023f"
"La république de France Comté et du territoire de Belfort","REPUBLIQUE DE FRANCHE COMTE ET DU TERRITOIRE DE BELFORT (LA)","Besançon","Besancon","cesse","1945","none","none","1944","Départemental","25,9","none","none","none","","none","none","archives_25"
"La république sociale","REPUBLIQUE SOCIALE (LA)","Rennes","Rennes","cesse","1947","none","none","1945","none","35","none","none","none","","Organe de la démocratie de l'ouest","nonenonenonenone","archives_35"
"La république soir","REPUBLIQUE SOIR (LA)","Nimes","Nimes","cesse","1946","none","none","1945","Départemental","30","none","none","none","","none","none","archives_30"
"Résistance républicaine","RESISTANCE REPUBLICAINE","Bayonne","Bayonne","cesse","1948","none","none","1944","none","64","none","none","none","","Organe du Comité de la libération nationale","none","archives_64"
"Le Réveil","REVEIL (LE)","Grenoble","Grenoble","none","1952","none","none","1944","Regional","4,5,6,7,13,26,30,38,42,69,73,74,84","none","none","none","","none","none","archives_38"
"Le Sampiero","SAMPIERO (LE)","Ajaccio","Ajaccio","cesse","1892","none","none","1883","Départemental","13,2A,2B","none","none","none","","none","none","archives_2A_http://presselocaleancienne.bnf.fr/ark:/12148/cb32864678t"
"Sud-est républicain","SUD_EST REPUBLICAIN","Lyon","Lyon","cesse","1944","none","none","?","Départemental","69","true,true,Le Nouveau Journal]","none","none","","none","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb32873587g"
"La tribune de l'Allier","TRIBUNE DE L'ALLIER (LA)","Moulins","Moulins","cesse","1930","none","none","1927","Départemental","30","none","none","none","","none","nonenonenonenone","http://presselocaleancienne.bnf.fr/ark:/12148/cb32880950q"
"La tribune de Mulhouse","TRIBUNE DE MULHOUSE (LA)","Mulhouse","Mulhouse","cesse","1947","none","none","1945","none","69","none","none","none","","none","none","archives_69"
"La tribune de Saône et Loire","TRIBUNE DE SAONE ET LOIRE","Chalon","Chalon","cesse","1963","none","none","1944","Départemental","71","none","none","none","","none","none","archives_71"
"L'Union républicaine","UNION REPUBLICAINE (L')","Chalon","Chalon","cesse","1944","none","none","1882","Départemental","71","none","none","none","","none","none","archives_71"
"Valmy","VALMY","Moulins","Moulins","cesse","1955","Le Patriote","Le Patriote","1944","none","3","true,true,Le Patriote","1952","none","","none","none","archives_03"
"La Voix de l'ouest","VOIX DE L'OUEST (LA)","Rennes","Rennes","cesse","1947","none","none","1945","none","35","none","none","none","","none","nonenonenonenone","archives_35"
"La Voix de la patrie","VOIX DE LA PATRIE (LA)","Montpellier","Montpellier","cesse","1953","none","none","1943","Départemental","11,12,30,34,48,66","none","none","none","","none","none","archives_34_http://gallica.bnf.fr/ark:/12148/cb328909293/date"
"La voix républicaine de Haute-Loire","VOIX REPUBLICAINE DE HAUTE-LOIRE (LA)","Le Puy en Velay","Le_Puy_en_Velay","cesse","1951","none","none","1944","Départemental","43","none","none","none","","none","none","archives_43"
"L'Aube","AUBE (L')","Paris","National","cesse","1951","none","none","1932","National ","none","none","none","none","","none","",""
"Bulletin économique","BULLETIN ECONOMIQUE","Paris","National","cesse","1946","none","none","","National","none","none","none","none","","none","",""
"Lyon libre","LYON LIBRE","Lyon","Lyon","cesse","1948","none","none","1879","Départemental","69","none","none","Organe de l'autonomie municipale et départementale","","none","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb32810067h"
"Le républicain du Sud Ouest","REPUBLICAIN DU SUD OUEST (LE)","Anglet","Anglet","hebdomadaire","1947","none","none","1944","none","64","none","none","Organe officiel régional de « ceux de la libération vengeance »","","none","none","archives_64"
"L'étincelle","ETINCELLE (L')","Pau","Pau","cesse","1951","none","none","1933","Départemental","64,4","none","none","PCF","","none","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb32770071t"
"La Gironde populaire","GIRONDE POPULAIRE (LA)","Bordeaux","Bordeaux","cesse","1948","none","none","1937","Départemental","33","none","none","PCF","","none","none","http://gallica.bnf.fr/ark:/12148/cb34438555t/date"
"Le Rouge-midi","ROUGE_MIDI (LE)","Marseille","Marseille","cesse","1948","none","none","1930","Départemental","6","none","none","PCF","","none","none","http://gallica.bnf.fr/ark:/12148/cb328629785/date"
"Ce soir","CE SOIR","None","National","cesse","1953","none","none","1937","National ","none","none","none","PCF","","1940,1944","",""
"L'Humanité","L'HUMANITE","Saint-Denis","National","none","2016","L'Humanité","L'HUMANITE","1904","National ","none","none","none","PCF","","none","",""
"Le courrier de Metz","COURRIER DE METZ (LE)","Metz","Metz","cesse","1922","none","none","1892","Départemental","57","none","none","Progrès démocratique lorrain","","none","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb327506743"
"La Marseillaise","MARSEILLAISE (LA)","Marseille","Marseille","none","2016","La Marseillaise","MARSEILLAISE (LA)","1943","Régional","4,5,6,9,11,12,13,30,31,32,34,46,48,65,66,81,82,83,84","none","none","Résistance communiste","","none","none","http://www.lamarseillaise.fr/"
"Le Matin de Paris","LE MATIN DE PARIS","Paris","National","cesse","1987","none","none","1987","National","none","none","none","Resistance française","","none","",""
"Libre Poitous","LIBRE POITOUS","Poitiers","Poitiers","fusion","1958","none","none","1940","Départemental","86,67","false,true,Centre presse","1958","Résistance française","","none","none","http://gallica.bnf.fr/ark:/12148/cb344213003/date"
"La Marseillaise du Centre","MARSEILLAISE DU CENTRE (LA)","Limoges","Limoges","fusion","1946","none","none","1944","none","87","none","none","Résistance française","","none","none","archives_87_http://gallica.bnf.fr/ark:/12148/cb32811879z/date.item"
"Le renaissance républicaine du Gard","RENAISSANCE REPUBLICAINE DU GARD (LA)","Nimes","Nimes","cesse","1947","none","none","1906","Départemental","30","none","none","Résistance française","","none","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb328525974"
"Résistance","RESISTANCE","Paris","National","cesse","1944","none","none","1940","National","none","none","none","Résistance française","","none","",""
"Le courrier picard","COURRIER PICARD (LE)","Amiens","Amiens","none","2016","Le courrier picard","COURRIER PICARD (LE)","1944","Départemental","2,60,80","none","none","Rossel","2009","none","nonenonenone","http://www.courrier-picard.fr/"
"L'Est éclair","EST ECLAIR (L')","Troyes","Troyes","none","2016","L'Est éclair","EST ECLAIR (L')","1945","Départemental","10","none","none","Rossel","2013","none","nonenonenone","http://www.lest-eclair.fr/"
"Libération Champagne","LIBERATION CHAMPAGNE","Troyes","Troyes","none","2016","Libération Champagne","LIBERATION CHAMPAGNE","1945","Départemental","10","none","none","Rossel","2013","none","nonenonenone","http://www.liberation-champagne.fr/"
"Nord éclair","NORD ECLAIR","Lille","Lille","none","2016","Nord éclair","NORD ECLAIR","1944","Départemental","59","none","none","Rossel","2004","none","nonenonenone","http://www.nordeclair.fr/"
"Nord littoral","NORD LITTORAL","Calais","Calais","none","2016","Nord littoral","NORD LITTORAL","1944","Départemental","62","none","none","Rossel","2004","none","nonenonenone","http://www.nordlittoral.fr/"
"L'Union","UNION (L')","Reims","Reims","none","2016","L'Union - l'Ardennais","UNION (L') _ ARDENNAIS (L')","1944","Départemental","2,8,51","true,true,UNION (L') _ ARDENNAIS (L')","1992","Rossel","2013","none","none","http://www.lunion.fr/"
"La Voix du nord","VOIX DU NORD (LA)","Lille","Lille","none","2016","La Voix du nord","VOIX DU NORD","1941","Départemental","59,62","none","none","Rossel","2004","none","nonenonenone","http://www.lavoixdunord.fr/"
"Le Bordeaux matin","BORDEAUX MATIN","Bordeaux","Bordeaux","cesse","1947","none","none","1917","Départemental","33","false,false,BORDEAUX-MIDI","1945","SFIO","","none","none","http://catalogue.bnf.fr/ark:/12148/cb32715103k"
"La Bourgogne républicaine","BOURGOGNE REPUBLICAINE (LA)","Dijon","Dijon","fusion","1958","Les dépêches","DéPêCHES(LES)","1937","Départemental","21,25,39,70,71,90","true,true,DéPêCHES(LES)","1958","SFIO","","none","none","http://www3.bienpublic.com/dossiers/minisites/retro/20eme/1937.html"
"Les dépêches","DÉPÊCHES(LES)","Dijon","Dijon","fusion","1992","Le Bien public","BIEN PUBLIC (LE)","1958","Départemental","21,25,39,70,71,90","true,true,BIEN PUBLIC(LE)","1958","SFIO","","none","none","http://data.bnf.fr/34367783/les_depeches__ed__de_la_cote_d_or_/"
"La Presse libre","PRESSE LIBRE (LA)","Strasbourg","Strasbourg","cesse","1958","none","none","1944","Département","24","none","none","SFIO","","none","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb344456516"
"Le Populaire","POPULAIRE (LE)","Paris","National","cesse","1970","none","none","1927","National","none","none","none","SFIO","","none","",""
"Libération","LIBERATION","Paris","National","none","2016","Libération","LIBERATION","1973","National ","none","none","none","SFR","","none","",""
"Le courrier de l'ouest","COURRIER DE L'OUEST (LE)","Angers","Angers","none","2016","Le courrier de l'ouest","COURRIER DE L'OUEST (LE)","1944","Départemental","49,79","none","none","Sipa Ouest-France","2008","none","nonenonenone","http://www.courrierdelouest.fr/"
"Le Maine libre","MAINE LIBRE (LE)","Le Mans","Le_Mans","none","2016","Le Maine libre","MAINE LIBRE (LE)","1944","Départemental","61,72","none","none","Sipa Ouest-France","2005","none","nonenonenone","http://www.lemainelibre.fr/"
"Ouest France","OUEST FRANCE","Rennes","Rennes","none","2016","Ouest France","OUEST France","1944","Départemental","75,77,78,91,92,93,94,95,76,14,27,50,61,85,44,49,53,72,56,22,29,35,23,24,33,40,47,64,79,86,87,16,14,19","none","none","Sipa Ouest-France","1990","none","nonenonenone","http://www.ouest-france.fr/"
"Presse Cherbourgeoise","PRESSE CHERBOURGEOISE","Cherbourg","Cherbourg","none","2016","Presse de la Manche","PRESSE DE LA MANCHE","1944","Départemental","50","false,true,PRESSE DE LA MANCHE","1953","Sipa Ouest-France","1990","none","nonenonenone","http://www.lapressedelamanche.fr/"
"La résistance de l'ouest","RESISTANCE DE L'OUEST (LA)","Nantes","Nantes","none","2016","Presse océan","PRESSE OCEAN","1945","Départemental","44","none","none","Sipa Ouest-France","2005","none","nonenonenone","http://www.presseocean.fr/"
"Le Progrès de Fécamp et des cantons limitrophes","LE PROGRES DE FECAMP ET DES CANTONS LIMITROPHES","Fécamp","Fecamp","fusion","none","none","none","1944","Départemental","76,27","none","none","SNIC (Société normande d'information et de communication)","2012","none","none"," archives_76_http://catalogue.bnf.fr/ark:/12148/cb32843914r"
"Le Havre libre","HAVRE LIBRE (LE)","Le Havre","Le_Havre","none","2016","Le Havre libre","HAVRE LIBRE","1945","Départemental","14,76","none","none","SNIC (Société normande d'information et de communication)","2012","none","nonenonenone","http://fr.kiosko.net/fr/np/havrelibre.html"
"Normandie","NORMANDIE","Déville-lès-Rouen","Deville_les_rouen","none","2016","Paris-Normandie","PARIS NORMANDIE","1944","Départemental","27,76","false,true,PARIS NORMANDIE","1947","SNIC (Société normande d'information et de communication)","2012","none","nonenonenone","http://www.paris-normandie.fr/"
"La Charente libre","CHARENTE LIBRE (LA)","Angoulème","Angouleme","none","2016","La Charente libre","CHARENTE LIBRE (LA)","1944","Départemental","16,17,24,33,75,86,87","none","none","Sud Ouest","1960","none","nonenonenone","http://www.charentelibre.fr/charente/angouleme/"
"La Dordogne libre","DORDOGNE LIBRE (LA)","Périgueux","Perigueux","none","2016","La Dordogne libre","DORDOGNE LIBRE (LA)","1944","Départemental","24","none","none","Sud Ouest","1960","none","nonenonenone","http://www.dordognelibre.fr/"
"La Ivème République des Pyrénées","LA IVÈME RÉPUBLIQUE DES PYRÉNÉES","Pau","Pau","none","2016","La république des Pyrénées","LA REPUBLIQUE DES PYRENEES","1944","Départemental","64","false,true,LA REPUBLIQUE DES PYRENEES","1958","Sud Ouest","1975","none","nonenonenone","http://www.larepubliquedespyrenees.fr/"
"Sud-ouest","SUD_OUEST","Bordeaux","Bordeaux","none","2016","Sud-ouest","SUD_OUEST","1944","Département","16,17,24,32,33,40,47,64","nonz","none","Sud Ouest","1960","none","nonenonenone","http://www.sudouest.fr/"
"L'éclair des Pyrénées","ECLAIR DES PYRENEES (L')","Pau","Pau","none","2016","L'éclair des Pyrénées","ECLAIR PYRENEES","","Départemental","64","none","none","Sud Ouest","1975","none","none","http://www.larepubliquedespyrenees.fr/"
"Direct Matin Bordeaux 7 ","Direct Matin Bordeaux 7 ","Bordeaux","Bordeaux","none","2016","none","none","2004","Départemental","33","none","none","Sud Ouest","2004","none","none","http://www.bordeaux7.com/"
"La dépêche démocratique","DEPECHE DEMOCRATIQUE (LA)","Saint-Etienne","Saint_etienne","fusion","1946","none","none","1944","Départemental","42","true,true,DEPECHE LA LIBERTE (LA)","1946","","","","none","http://catalogue.bnf.fr/ark:/12148/cb32756056z"
"La liberté","LIBERTE (LA)","Lyon","Lyon","cesse","1849","none","none","","","none","","none","","","","",""
"Le Patriote de Nice et du Sud Ouest","PATRIOTE DE NICE ET DU SUD EST","Nice","Nice","hebdomaire","1967","none","none","1944","Départemental","6","false,false,Le Patriote Côte d'Azur","1945","","","","",""
"Le Provençal","PROVENCAL (LE)","Marseille","Marseille","fusion","1997","none","none","1944","Départemental","4,5,13,84","true,true,PROVENCE (LA)","1997","","","none","none","http://www.laprovence.com/"
"Cité soir","CITE SOIR","National","National","cesse","1946","none","none","","","none","none","none","","","none","",""
"La Côte Desfosses","COTE DESFOSSES (LA)","National","National","fusion","1992","La Tribune (web)","LA TRIBUNE (web)","1824","National ","none","true,true,La Tribune","1992","","","none","",""
"La Dépêche de Paris","DEPECHE DE PARIS (LA)","National","National","cesse","","none","none","","","none","none","none","","","","",""
"L'époque","EPOQUE (L')","National","National","cesse","1950","none","none","","","none","none","none","","","","",""
"L'étoile","ETOILE (L')","National","National","cesse","","none","none","","","none","none","none","","","none","","hebodmaire canadien"
"France soir","FRANCE SOIR","Paris","National","cesse","2011","France soir l'e-mag","France soir l'e-mag","1944","National ","none","false, true,France soir le mag","2013","","","2011-2013","","BNF"
"L'Ordre","ORDRE (L')","National","National","cesse","1947","none","none","","National ","none","none","none","","","none","",""
"Paris matin","PARIS MATIN","National","National","fusion","1948","none","none","","National ","none","none","none","","","none","",""
"Le Pays","PAYS (LE)","Porrentruy","Porrentruy","fusion","1993","none","none","1923","National","none","true,true, "Le Démocrate"","1993","","","none","",""
"Sans fil","SANS FIL","National","National","cesse","none","none","none","","National","none","none","none","","","none","",""
"La Vie française","VIE FRANçAISE (LA)","Paris","National","cesse","2008","La Vie financière","VIE FINANCIERE (LA)","1945","National","none","true, true,VIE FINANCIERE(LA)","1994","","","none","","serait hebdo"
