"code","nom","visa_free","visa_arrival","visa_eTA"
"AZ","Azerbaijan","VU_UZ_UA_TR_TJ_BY_VC_BB_BS_AM_AG_AL_RU_QA_BA_CO_DM_EC_GE_HT_ID_IR_KZ_KG_MK_MY_FM_MD_ME_NA_PS","ZW_UG_TV_TG_TL_BD_SO_SC_WS_RW_BJ_BO_KH_CV_KM_DJ_GW_JM_JO_LA_LB_MO_MG_MW_MV_MH_MR_MU_MZ_NP_NI_PW","LK_CI_IN"
"BS","Bahamas","AL_AG_AT_BB_BE_BZ_BA_BW_BR_BG_CL_CN_CO_CR_HR_CY_CZ_DK_DM_DO_EC_SV_EE_FJ_FI_FR_GM_GE_DE_GR_GD_GT_GY_HT_HN_HK_HU_IS_ID_IE_IL_IT_JM_JP_KE_KI_RK_LV_LS_LI_LT_LU_MK_MW_MY_MT_MU_MX_FM_MD_MC_ME_NL_NI_NO_PS_PA_PE_PH_PL_PT_RO_SM_SN_RS_SK_SI_ZA_KR_ES_KN_LC_VC_SR_SZ_SE_CH_TZ_TT_UG_UK_US_UY_VU_VA_ZM_ZW_AD_SG","AM_BD_BJ_BO_KH_CV_KM_DJ_EG_GW_IR_LA_LB_MO_MG_MV_MR_MZ_NP_PW_RW_WS_SC_SB_SO_TL_TG_TO_TR_TV_UA_AE_JO","CA_CI_IN_LK"
"BH","Bahrain","BW_BA_BY_BS_DM_DO_EC_EG_SV_GE_GT_HT_HN_HK_ID_JO_RK_KW_KG_LB_MY_MU_FM_MA_NZ_NI_OM_PS_PH_QA_SA_SN_RS_SG_KR_KN_VC_TH_TN_AE_VU","CV_KH_BN_BO_BJ_BD_AZ_AM_KM_DJ_GA_GW_IR_KE_LA_MO_MG_MW_MV_MR_MZ_NP_PW_RW_WS_SC_SO_TJ_TZ_TL_TG_TV_UG_UA_YE_ZW","CI_LK"
"BD","Bangladesh","BT_BB_BS_DM_FJ_GM_GD_HT_ID_JM_LS_FM_KN_VC_TT_VU","CV_KH_BO_BJ_KM_DJ_GW_KE_MG_MV_MR_MZ_NP_RW_WS_SC_SO_TL_TG_TV_UG","CI_LK"
"BB","Barbados","AL_AG_AR_AT_BS_BD_BY_BE_BZ_BA_BW_BR_BG_CL_CN_CO_CR_HR_CU_CY_CZ_DK_DM_DO_EC_SV_GQ_EE_FJ_FI_FR_GM_GE_DE_GR_GD_GT_GY_HT_HN_HK_HU_IS_ID_IE_IL_IT_JM_JP_KE_KI_RK_LV_LS_LI_LT_LU_MK_MW_MY_MT_MU_MX_FM_MD_MC_ME_NL_NI_NO_PS_PA_PE_PH_PL_PT_RO_SM_SN_RS_SK_SI_ZA_KR_ES_KN_LC_VC_SR_SZ_SE_CH_TZ_TT_TN_UG_UK_UY_VU_VA_VE_ZM_ZW_AD_SG","AM_BJ_BO_KH_CV_KM_DJ_GW_IR_LA_LB_MO_MG_MV_MH_MR_MZ_NP_PW_RW_WS_SC_SB_SO_TL_TG_TO_TR_TV_UA_JO","CA_CI_IN_LK"
"BY","Belarus","AG_AR_AM_AZ_BB_BR_CU_DM_EC_GM_GE_HT_HK_ID_IL_KZ_KG_MO_MY_FM_MD_MN_ME_NA_NI_PS_PA_PE_QA_RU_RS_VC_TJ_TR_UA_UZ_VU_VE_VN","BD_BJ_BO_KH_CV_KM_DJ_GW_IR_JM_JO_KE_LA_LB_MG_MW_MV_MR_MU_MZ_NP_PW_RW_WS_SC_SO_TZ_TL_TG_TV_UG_ZM_ZW","CI_LK"
"BE","Belgium","AL_AD_AG_AR_AM_AT_BS_ST_BB_BZ_BO_BA_BW_BR_BN_BG_CL_CO_CR_HR_CY_CZ_DK_DM_DO_EC_SV_EE_FJ_FI_FR_GM_GE_DE_GR_GD_GT_GY_HT_HN_HK_HU_IS_ID_IE_IL_IT_JM_JP_KZ_KI_RK_KG_LV_LS_LI_LT_LU_MO_MK_MY_MT_MH_MU_MX_MD_MC_ME_MA_NA_NL_NZ_NI_NO_PW_PA_PY_PE_PH_PL_PT_QA_RO_WS_SM_SN_RS_SG_SK_SI_SB_ZA_KR_ES_KN_LC_VC_SZ_SE_CH_TW_TH_TL_TO_TT_TN_TV_UA_AE_UY_VU_VA_VE_UK_BY_FM_PS","BD_BF_KH_CV_KM_DJ_EG_ET_GW_IR_JO_KE_KW_LA_LB_MG_MW_MV_MR_MZ_NP_OM_PG_SC_SR_TJ_TZ_TG_TR_UG_ZM_ZW_BJ_GA_RW_SO_BH","AU_CA_LK_US_CI_IN"
"BZ","Belize","AG_BS_BB_BW_BR_CL_CO_CR_DM_DO_EC_SV_FJ_GM_GE_GD_GT_GY_HT_HN_HK_ID_IE_IL_JM_KE_KI_RK_LS_MW_MY_MU_MX_FM_NI_PS_PA_PE_PH_ZA_KN_LC_VC_SR_SZ_TW_TZ_TT_TR_UG_UK_UY_VU_VE_ZM_ZW_SG","AM_BD_BJ_BO_KH_CV_KM_DJ_GW_IR_LA_LB_MO_MG_MV_MH_MR_MZ_NP_PW_RW_WS_SC_SB_SO_TL_TG_TV","CI_IN_LK"
"BJ","Benin","BF_CV_CF_CI_CU_DM_EC_GM_GH_GN_GW_HT_HK_ID_LR_MY_ML_MU_FM_NE_NG_PH_RW_SN_SL_ZA_VC_TG_TN_SG","BD_BO_KH_TD_KM_CG_DJ_KE_LA_MO_MG_MW_MV_MR_MZ_NP_NI_PW_WS_SC_SO_LC_TZ_TL_TR_TV_UG_IR","LK"
"BT","Bhutan","BD_CO_DM_EC_GM_HT_HK_IN_ID_FM_PS_PA_PH_SG_VC","CV_KH_BO_BJ_AM_KM_DJ_EG_GW_IR_JO_KE_KW_LA_LB_MO_MG_MW_MV_MR_MU_MZ_NP_NI_PW_RW_WS_SC_SO_LC_TZ_TH_TL_TG_TV_UG_ZM_ZW","CI_LK"
"BO","Bolivia","AR_BS_BZ_BR_CL_CO_CR_DM_DO_EC_GM_HT_HK_ID_IR_IE_JM_MY_FM_PS_PA_PY_PE_PH_QA_RU_RS_ZA_KN_VC_TR_UY_VE_SG","AM_BD_BJ_KH_CV_KM_DJ_EG_GW_KE_LA_MO_MG_MW_MV_MR_MU_MZ_NP_NI_OM_PW_RW_WS_SC_SO_LC_SR_TZ_TL_TG_TV_UG_ZM_JO_BH","CI_IN_LK"
