"Ville","pop","cX","cY"
"2259339","32","3.1113051797","50.7599934843"
"2259911","108","3.0201500954","50.7599156248"
"2259712","39","3.0486535987","50.7598358353"
"2259338","9","3.1084813786","50.7598244806"
"2259001","7","3.1683104844","50.7597816823"
"2259910","190","3.0173265808","50.759744351"
"2259183","1","3.1369840786","50.7597227911"
"2259711","5","3.0458299592","50.7596652936"
"2259000","1","3.16548646","50.7596140813"
"2259909","179","3.014503058","50.7595730359"
"2259182","20/05/17","3.1341601967","50.7595544132"
"2259519","3","3.0715094071","50.759409154"
"2259908","269.5","3.0116795168","50.759401664"
"2259181","39","3.1313362989","50.7593859441"
"2259907","153","3.0088560321","50.7592301753"
"2259180","16","3.1285124922","50.7592173851"
"2259337","11","3.0971884316","50.7591473303"
"2258999","6","3.1570146178","50.7591107824"
"2259518","2","3.0658620943","50.7590690942"
"2259906","90","3.0060325953","50.759058644"
"2259336","36","3.0943647046","50.7589779767"
"2258998","8","3.1541907249","50.7589428889"
"2259905","250","3.0032091495","50.7588870265"
"2259179","201","3.1228648594","50.758880114"
"2259335","14","3.0915409849","50.7588085347"
"2258997","27","3.1513668622","50.7587749101"
"2259517","1","3.0602148679","50.7587287363"
"2259904","139","3.0003866044","50.7587153473"
"2259178","178","3.1200410724","50.7587113693"
"2259334","4","3.0887173187","50.7586390103"
"2258996","49.5","3.148543","50.7586068493"
"2259903","265","2.9975641495","50.7585436033"
"2259177","143","3.1172173045","50.7585425602"
"2259710","01/05/17","3.0260651478","50.7584694081"
"2258995","16","3.1457191569","50.7584387241"
"2259516","4","3.0545676717","50.7583881689"
"2259176","64","3.1143935325","50.7583736838"
"2259902","143","2.994740795","50.7583717999"
"2259709","62","3.0232416955","50.7582983136"
"2259515","20","3.0517441316","50.7582177541"
"2259175","84","3.1115697797","50.758204743"
"2259901","19","2.9919173893","50.7581999324"
"2258827","4","3.1713967688","50.7581603517"
"2259708","58","3.0204182341","50.7581271329"
"2259514","30","3.0489206108","50.7580472749"
"2259174","4","3.1087461398","50.7580357403"
"2259900","4","2.9890940031","50.7580280006"
"2258826","49.5","3.1685728966","50.7579928202"
"2259707","118","3.0175948035","50.757955867"
"2259173","5","3.1059224365","50.7578666497"
"2259706","143","3.0147713862","50.7577845764"
"2258994","7","3.1344239479","50.7577656087"
"2259333","4","3.0717755421","50.7576205082"
"2259705","401.5","3.0119479944","50.7576131816"
"2258993","37","3.1316002114","50.7575971405"
"2258825","5","3.1601013316","50.7574897382"
"2259332","13","3.0689519827","50.7574505448"
"2259704","335.5","3.0091245724","50.7574417061"
"2258992","122","3.1287764674","50.7574285946"
"2259513","5","3.0376266866","50.7573646175"
"2259172","6","3.0974535832","50.7573586334"
"2259331","7","3.0661284519","50.7572804878"
"2259703","207.5","3.0063012524","50.7572701897"
"2258991","87","3.1259527082","50.7572600023"
"2259171","5","3.0946299632","50.757189279"
"2259702","155","3.0034779287","50.757098606"
"2258990","98","3.1231290851","50.7570913511"
"2259512","2","3.0319797817","50.7570229211"
"2259170","5","3.0918063716","50.757019831"
"2259701","113","3.0006554839","50.7569269325"
"2258989","294.5","3.1203053753","50.756922609"
"2259511","12","3.0291564003","50.7568519317"
"2258824","91","3.1488062091","50.7568180285"
"2259700","141","2.9978330963","50.7567551871"
"2258988","207.5","3.1174816846","50.7567538026"
"2258660","22","3.1773067691","50.7567063548"
"2259169","6","3.0861592024","50.756680789"
"2258823","17","3.1459824849","50.7566499265"
"2258987","217","3.1146580362","50.7565849347"
"2259699","102","2.9950098376","50.756583404"
"2259510","9","3.0235096863","50.7565097891"
"2258986","179","3.111834407","50.7564160024"
"2259698","48","2.9921865699","50.7564115347"
"2258659","3","3.1716590728","50.756371458"
"2259168","8","3.0805121537","50.7563414308"
"2259509","17","3.0206863207","50.7563386288"
"2259330","28","3.0491876037","50.7562587094"
"2259697","54","2.9893632722","50.7562395847"
"2259508","49.5","3.0178629745","50.7561674041"
"2259167","3","3.0748651488","50.756001808"
"2259507","164","3.01503969","50.7559960928"
"2259329","2","3.0435408202","50.7559175243"
"2258985","5","3.1033636578","50.7559087681"
"2259696","2","2.9837169116","50.7558955177"
"2258658","2","3.1631878117","50.7558686063"
"2259166","3","3.0720416752","50.7558319"
"2259506","182","3.012216415","50.7558247016"
"2258822","7","3.1318640718","50.7558083247"
"2259328","6","3.0407174571","50.7557468128"
"2258984","2","3.1005412102","50.755739389"
"2259165","2","3.069218209","50.7556619037"
"2259505","147","3.0093931429","50.7556532482"
"2258821","8","3.1290403893","50.7556398171"
"2259327","2","3.037894114","50.7555760817"
"2258983","2","3.0977187454","50.755569928"
"2258657","2","3.1575403753","50.7555330202"
"2259504","251.5","3.0065698888","50.7554817555"
"2258820","122.5","3.1262168145","50.7554712287"
"2259503","240","3.0037466886","50.7553101804"
"2258819","161","3.1233932124","50.75530257"
"2259326","4","3.0322474522","50.7552343745"
"2258982","2","3.0920717333","50.7552311619"
"2258656","24/05/17","3.1518930148","50.7551971765"
"2259502","4","3.0009243442","50.7551385126"
"2258818","330","3.1205696335","50.755133875"
"2258655","26","3.1490693655","50.7550291507"
"2259501","112","2.9981020192","50.7549667803"
"2258817","153.5","3.1177460809","50.7549650667"
"2258467","6","3.1775688317","50.7549174168"
"2258981","8","3.0864247649","50.7548921312"
"2258654","56","3.1462457305","50.7548610752"
"2259164","4","3.0551012362","50.7548109654"
"2258816","222","3.114922521","50.7547961805"
"2259500","26","2.9952788655","50.7547949883"
"2258466","18","3.1747450814","50.7547500222"
"2258653","17","3.1434221258","50.7546929143"
"2258815","91","3.112098969","50.7546272509"
"2258465","3","3.1719213581","50.7545825591"
"2259325","4","3.0209543998","50.7545501434"
"2259499","8","2.9896325569","50.7544511905"
"2258980","3","3.0779545548","50.754383027"
"2258652","2","3.1377749366","50.7543563643"
"2259498","2","2.9868094497","50.7542791815"
"2259324","23","3.015307991","50.754207602"
"2258814","6","3.1036285441","50.7541200363"
"2259497","1","2.9839863738","50.7541071319"
"2258979","2","3.0723077892","50.7540432866"
"2259323","183","3.0124847998","50.7540362186"
"2258813","3","3.10080622","50.7539506657"
"2258464","51","3.1606267852","50.7539119854"
"2258978","9","3.0694844392","50.7538732604"
"2259322","230","3.0096616221","50.7538648106"
"2258651","14","3.1293043432","50.7538510256"
"2259163","4","3.0381615223","50.7537875408"
"2258812","4","3.0979838543","50.7537812354"
"2258463","131","3.1578031746","50.753744173"
"2258977","2","3.0666610999","50.7537032439"
"2259321","84.5","3.0068385074","50.753693291"
"2258650","36.5","3.1264808225","50.753682437"
"2259162","3","3.0353383035","50.7536167364"
"2258462","34","3.1549796207","50.7535762886"
"2258976","2","3.0638378221","50.7535331408"
"2259320","191","3.004015391","50.7535217123"
"2258649","160","3.1236573248","50.7535138119"
"2258811","14","3.0923370595","50.7534424898"
"2258461","29","3.1521560857","50.7534083399"
"2258648","137","3.1208338423","50.7533450945"
"2258280","13","3.1806545019","50.7532958205"
"2258810","2","3.0895136932","50.7532730074"
"2258460","97","3.1493325322","50.7532403344"
"2258647","204","3.1180104463","50.7531763017"
"2258279","6","3.1778308331","50.7531284958"
"2258459","107","3.1465089573","50.7530722188"
"2258975","3","3.0553679901","50.7530223783"
"2258646","160.5","3.1151869987","50.753007445"
"2258809","2","3.0838669864","50.7529338173"
"2259161","3","3.0240456015","50.7529327989"
"2258458","97","3.143685453","50.7529040635"
"2258645","9","3.1123635471","50.752838521"
"2258278","6","3.1721836477","50.752793658"
"2259160","2","3.0212224696","50.752761657"
"2258457","17","3.1408619942","50.7527358572"
"2259319","2","2.9899017761","50.7526627853"
"2258808","1","3.0782204318","50.7525943545"
"2259159","5","3.0183993664","50.7525904215"
"2258277","11","3.1665365704","50.7524585248"
"2259158","2","3.0155762846","50.7524191299"
"2259157","8","3.0127531594","50.7522477702"
"2259318","5","2.981432872","50.7521466119"
"2258276","88","3.1608895314","50.7521231416"
"2259156","84","3.009930121","50.7520763353"
"2258456","126","3.1295681942","50.7520622307"
"2258974","11","3.038428916","50.7519989801"
"2258644","6","3.0982489607","50.751992547"
"2258275","240","3.1580659927","50.7519553131"
"2259155","40","3.0071070902","50.7519048121"
"2258455","204","3.1267448155","50.7518936681"
"2258973","5","3.0356057929","50.751828196"
"2258643","9","3.0954256683","50.7518232229"
"2258274","216","3.1552425016","50.7517874419"
"2258807","6","3.0641042227","50.7517445246"
"2259154","32","3.0042840907","50.7517332484"
"2258454","167","3.1239214143","50.7517250207"
"2258642","5","3.0926023548","50.7516537888"
"2258273","234","3.152419067","50.7516194987"
"2258453","175.5","3.1210981115","50.7515563218"
"2258090","86","3.1809163961","50.7515069127"
"2258641","2","3.0897791232","50.751484294"
"2258272","46","3.1495956515","50.7514514912"
"2258452","216","3.1182747597","50.7513875246"
"2258089","109","3.17809287","50.7513395715"
"2258451","72","3.1154513847","50.7512186852"
"2258088","35","3.1752693616","50.7511721909"
"2258640","3","3.0841326324","50.7511451494"
"2258271","27","3.1439488062","50.7511152385"
"2258806","6","3.0528115869","50.7510634387"
