"Titre1","Ville","villeOk","Fin_type","Annee","Titre2","Deb_ann","Aire_diff","Liste_entites","changement_nom","date_change","appartenance","trou","payant","source_erreur","","","","",""
"ECLAIR COMTOIS (L')","Besançon","Besancon","fusion","1939","none","1903","Départemental","25","none","","La république de l'Est","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb32763706t","","","","",""
"CONCORDE REPUBLICAIN (LA)","Reims","Reims","cesse","1901","none","","","","","","","","","","","","","",""
"CORSE MATIN","Ajaccio","Ajaccio","none","2016","CORSE MATIN","1944","Départemental","2A,2B,4,5,6,13,83,84","none","","Groupe La Provence","none","?","http://www.corsematin.com/","","","","",""
"COURRIER DE BAYONNE (LE)","Bayonne","Bayonne","fusion","1947","none","1887","Départemental","64","true,true,COURRIER, L'ECLAIREUR","1947","none","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb344165130","","","","",""
"COURRIER DE L'OUEST (LE)","Angers","Angers","none","2016","COURRIER DE L'OUEST (LE)","1944","Départemental","49,79","none","","Groupe SIPA-Ouest France","none","oui","http://www.courrierdelouest.fr/","","","","",""
"COURRIER DE METZ (LE)","Metz","Metz","cesse","1922","none","1892","Départemental","57","none","","Progrès démocratique lorrain","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb327506743","","","","",""
"JOURNAL DE SAONE ET LOIRE (LE)","Chalons","Chalons","none","2016","COURRIER DE SAONE ET LOIRE (LE)","1826","Départemental","71","none","","EBRA(Groupe)","none","oui","http://www.lejsl.com/","","","","",""
"COURRIER FRAN_AIS DU SUD OUEST (LE)","Bordeaux","Bordeaux","hebdomadaire","0","none","","","","","","","","","https://fr.wikipedia.org/wiki/Le_Courrier_fran%C3%A7ais","","","","",""
"COURRIER PICARD (LE)","Amiens","Amiens","none","2016","COURRIER PICARD (LE)","1944","Départemental","2,60,80","none","","Groupe La Voix","none","oui","http://www.courrier-picard.fr/","","","","",""
"CRI DU PEUPLE (LE)","Saint-Etienne","Saint_etienne","cesse","1946","none","1871","Départemental","30,43,69","none","","PCF","1871-1883","?","http://cedmo42.free.fr/files/presse_en_1958.html","journal communard : saint etienne? ","http://presselocaleancienne.bnf.fr/ark:/12148/cb327524981","hebdo","",""
"CRI DU SOIR (LE)","Perpignan","Perpignan","cesse","1947","none","1930","Départemental","66","none","","none","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb328352770","","","","",""
"CROIX DU NORD (LA)","Lille","Lille","cesse","1967","none","1889","Départemental","59","none","","none","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb32753198f","","","","",""
"DAUPHINE LIBERE (LE)","Grenoble","Grenoble","none","2016","DAUPHINE LIBERE (LE)","1945","Départemental","1,4,5,7,26,38,73,74,84","none","","EBRA(Groupe)","none","oui","http://www.ledauphine.com/france-monde","","","","",""
"DEMOCRATIE (LA)","Toulouse","Toulouse","none","2016","DEPECHE DU MIDI","1870","Départemental","9,11,12,31,32,46,47,65,81,82","false,true,DEPECHE DU MIDI (LA)","1947","Groupe La dépêche","1945-1947","oui","http://www.acpm.fr/Support/la-depeche-du-midi","http://www.ladepeche.fr/","","","",""
"DEPECHE DE L'AUBE (LA)","Troyes","Troyes","fusion","1948","none","1920","","","","","","","","http://www.ladepechedelaube.org/","","","","",""
"DEPECHE DEMOCRATIQUE (LA)","Saint-Etienne","Saint_etienne","fusion","1946","none","1944","Départemental","42","true,true,DEPECHE LA LIBERTE (LA)","1946","","","?","http://catalogue.bnf.fr/ark:/12148/cb32756056z","","","","",""
"DERNIERE HEURE","Nice","Nice","cesse","1947","none","1887","Départemental","69","none","","none","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb32756271d","","","","",""
"DERNIERES DEPECHES (LES)","Dijon","Dijon","fusion","1958","none","1945","Départemental","21","none","","none","none","?","http://data.bnf.fr/32756307/les_dernieres_depeches__dijon_/","","","","",""
"DERNIERES NOUVELLES D'ALSACE (LES)","Strasbourg","Strasbourg","none","2016","DERNIERES NOUVELLES D'ALSACE (LES)","1878","Départemental","67,68,90","none","","BFCM","none","oui","http://www.dna.fr/","","","","",""
"DERNIERES NOUVELLES DE L'EST (LES)","Epinal","Epinal","fusion","0","none","","","","","","","","","","","","","",""
"DERNIERES NOUVELLES DU HAUT_RHIN (LES)","Colmar","Colmar","fusion","0","none","","","","","","","","","","","","","",""
"DORDOGNE LIBRE (LA)","Périgueux","Perigueux","none","2016","DORDOGNE LIBRE (LA)","1944","Départemental","24","none","","Groupe Sud Ouest","none","oui","http://www.dordognelibre.fr/","","","","",""
"ECHO DE LA CORREZE (L')","Tulle","Tulle","cesse","1894","none","1844","Départemental","19","none","","none","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb32760339z","","","","",""
"ECHO DU CENTRE (L')","Limoges","Limoges","none","2016","ECHO DE LA HAUTE VIENNE (L')","1943","Départemental","19,23,24,36,87","none","","antilibéral - PCF - indépendant","none","?","http://www.l-echo.info/","","","","",""
"ECHO DU MIDI (L')","Cavaillon","Cavaillon","cesse","1946","none","","","","","","","","","","","","","",""
"ECHO DE LYON (L')","Lyon","Lyon","cesse","1893","none","1889","Départemental","69","none","","none","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb327607706/","","","","",""
"ECHO DE LYON (L')","Lyon","Lyon","cesse","1948","none","1945","Départemental","69","none","","none","none","?","https://ajpresse.net/la-presse-hier/39-lyon-la-presse-quotidienne-a-la-liberation.html","","","","",""
"ECHO REPUBLICAIN (L')","Chartres","Chartres","none","2016","ECHO REPUBLICAIN (L')","1922","Départemental","28,78","none","","Groupe Centre-France La Montagne","none","oui","http://www.lechorepublicain.fr/accueil.html","","","","",""
"ECLAIR (L')","Clermont-Ferrand","Clermont_Ferrand","cesse","1947","none","","","","","","","","","","","","","",""
"ECLAIR DE L'EST (L')","Nancy","Nancy","cesse","1949","none","1905","Départemental","54","none","","none","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb32763718t","","","","",""
"ECLAIR DES CHARENTES (L')","Angoul_me","Angouleme","cesse","0","none","","","","","","","","","","","","","",""
"ECLAIR DES PYRENEES (L')","Pau","Pau","none","2016","ECLAIR PYRENEES","","Départemental","64","none","","Partage-La république des pyrénées","","","","","","","",""
