"Titre1","Ville","villeOk","Fin_type","Annee","Titre2","Deb_ann","Aire_diff","Liste_entites","changement_nom","date_change","appartenance","trou","payant","source_erreur","","","","",""
"PATRIOTE (LE)","Bastia","Bastia","cesse","1951","none","","Départemental","2A,2B","none","","none","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb32833941f","http://presselocaleancienne.bnf.fr/ark:/12148/cb327825382","","","",""
"PATRIOTE (LE)","Toulouse","Toulouse","cesse","1965","none","","Départemental","31","none","","none","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb41366513j","http://presselocaleancienne.bnf.fr/ark:/12148/cb32833918x","","","",""
"PATRIOTE (LE)","Ajaccio","Ajaccio","cesse","1951","none","","Départemental","2A,2B","none","","none","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb328339403","","","","",""
"PATRIOTE (LE)","Saint-Etienne","Saint_etienne","cesse","1958","none","1941","Départemental","1,38,42,69,73","none","","PCF","none","?","http://cedmo42.free.fr/files/presse_en_1958.html","","","","",""
"PATRIOTE DE NICE ET DU SUD EST","Nice","Nice","hebdomaire","1967","none","1944","Départemental","6","false,false,Le Patriote Côte d'Azur","1945","","","","","","","","",""
"PATRIOTE DES PYRÉNÉES","Pau","Pau","cesse","1944","PATRIOTE DES PYRéNéES","1896","Départemental","64","none","","none","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb32834057k","","","","",""
"PAYS (LE)","Rodez","Rodez","cesse","0","none","","","","","","","","","","","","","",""
"PETIT BASTIAIS (LE)","Bastia","Bastia","cesse","1972","none","1881","Départemental","2A,2B","none","","none","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb34362263m","","","","",""
"PETIT BLEU DE LOT ET GARONNE","Agen","Agen","none","2016","PETIT BLEU D'AGEN","1914","Départemental","46","false,false,PETIT BLEU D'AGEN","none","Groupe La dépêche","none","oui","http://www.petitbleu.fr/","","","","",""
"PETIT JOURNAL","Montauban","Montauban","none","2016","PETIT JOURNAL","2002","Départemental","9,11,12,31,32,34,46,47,65,66","none","","Alain Paga","none","oui","http://www.lepetitjournal.net/Lot-et-Garonne/1-Accueil.htm","","","","",""
"PETIT MACONNAIS (LE)","Môcon","Macon","cesse","1947","none","1881","Départemental","71","none","","none","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb32836786k","","","","",""
"PETIT VARROIS (LE)","Toulon","Toulon","fusion","1997","none","1946","Départemental","86","none","","PCF","none","?","http://data.bnf.fr/34379145/le_petit_varois__la_marseillaise/","http://www.archives.var.fr/_depot_ad83/datas/ark_cms/_depot_arko/articles/580/le-petit-varois_doc.pdf","","","",""
"PICARDIE JOURNAL","Amiens","Amiens","cesse","0","none","","","","","","","","","","","","","",""
"POPULAIRE DE L'OUEST (LE)","Nantes","Nantes","fusion","1956","none","1945","Départemental","44","true,false,L'éclair","1956","none","none","?","https://fr.geneawiki.com/index.php/Le_Populaire_de_l%27Ouest","hebodmadaire","","","",""
"POPULAIRE DU CENTRE (LE)","Limoges","Limoges","none","2016","POPULAIRE DU CENTRE (LE)","1905","Départemental","16,23,87","none","","none","none","oui","http://www.lepopulaire.fr/accueil.html","","","","",""
"PRESSE CHERBOURGEOISE","Cherbourg","Cherbourg","none","2016","PRESSE DE LA MANCHE","1944","Départemental","50","false,true,PRESSE DE LA MANCHE","1953","Groupe SIPA-Ouest France","none","oui","http://www.lapressedelamanche.fr/","","","","",""
"PRESSE DU CALVADOS","Caen","Caen","fusion","1965","none","","","","","","","","","","","","","",""
"PRESSE LIBRE (LA)","Strasbourg","Strasbourg","cesse","1958","none","1944","Département","67","none","","SFIO","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb344456516","","","","",""
"RESISTANCE DE L'OUEST (LA)","Nantes","Nantes","none","2016","PRESSE OCEAN","1945","Départemental","44","none","","Groupe SIPA-Ouest France (2005)","none","oui","http://www.presseocean.fr/","","","","",""
"PROGRES (LE)","Lyon","Lyon","none","2016","PROGRES (LE)","1859","Départemental","1,38,39,42,43,69","none","","EBRA(Groupe)","none","oui","http://www.leprogres.fr/","","","","",""
"LE PROGRES DE FECAMP","Fécamp","Fecamp","fusion","0","none","","Départemental","76,27","","","SNIC- intégré à Paris Normandie","","","","","","","",""
"PROVENCE (LA)","Marseille","Marseille","none","2016","PROVENCE (LA)","1997","Départemental","4,5,13,84","true,false,PROVENCAL (LE)","1997","Bernard Tapie","none","oui","http://www.laprovence.com/","","","","",""
"PROVENCAL (LE)","Marseille","Marseille","fusion","1997","none","1944","Départemental","4,5,13,84","true,true,PROVENCE (LA)","1997","","none","?","http://www.laprovence.com/","","","","",""
"MERIDIONAL (LE)","Marseille","Marseille","fusion","1997","none","1946","Départemental","4,5,13,84","true,true,PROVENCE (LA)","1997","Gauche","none","?","http://www.laprovence.com/","http://www.lesechos.fr/03/09/1998/LesEchos/17723-058-ECH_--var-matin---a-fusionne-en-douceur-avec---nice-matin--.htm","","","",""
"PROVENCE SOIR (LA)","Avignon","Avignon","cesse","1947","none","","","","","","","","","","","","","",""
"LA IVÈME RÉPUBLIQUE DES PYRÉNÉES","Pau","Pau","none","2016","LA REPUBLIQUE DES PYRENEES","1944","Départemental","64","false,true,LA REPUBLIQUE DES PYRENEES","1958","Pyrénées Presse","none","oui","http://www.larepubliquedespyrenees.fr/","","","","",""
"QUARANTE QUATRE","Agen","Agen","cesse","1946","none","?","Départemental","47","none","","none","none","oui","http://www.priceminister.com/offer/buy/812515958/quarante-quatre-journal-authentique-de-1945.html","http://perso.numericable.fr/misercan/","","","",""
"RENAISSANCE REPUBLICAINE DU GARD (LA)","Nimes","Nimes","cesse","1947","none","1906","Départemental","30","none","","Résistance française","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb328525974","","","","",""
"REPUBLICAIN DU MIDI (LE)","Perpignan","Perpignan","cesse","1950","none","","","","","","","","","","","","","",""
"REPUBLICAIN DU SUD OUEST (LE)","Anglet","Anglet","fusion","1947","none","","","","","","","","","","","","","",""
"LE REPUBLICAIN LORRAIN","Metz","Metz","none","2016","LE REPUBLICAIN LORRAIN","1919","Départemental","54,55,57,88","none","","BFCM(Banque Fédérative du Crédit mutuel)","none","oui","http://www.republicain-lorrain.fr/","","","","",""
"REPUBLIQUE (LA IV)","Ajaccio","Ajaccio","cesse","1947","none","1943","Départemental","2A,2B","none","","none","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb32846540x","","","","",""
"REPUBLIQUE (LA)","Toulouse","Toulouse","cesse","0","none","","","","","","","","","","","","","",""
"REPUBLIQUE DU VAR (LA)","Toulon","Toulon","cesse","1944","none","1894","Départemental","83","none","","none","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb32853023f","","","","",""
"REPUBLIQUE DE FRANCHE COMTE ET DU TERRITOIRE DE BELFORT (LA)","Besançon","Besancon","cesse","1944","none","","Départemental","","","","","","","","","","","",""
"REPUBLIQUE DU CENTRE (LA)","Orléans","Orleans","none","2016","LA REPUBLIQUE DU CENTRE","1944","Départemental","45","none","","none","none","oui","http://www.larep.fr/vie-locale.html","","","","",""
"REPUBLIQUE SOCIALE (LA)","Rennes","Rennes","cesse","0","none","","","","","","","","","","","","","",""
"REPUBLIQUE SOIR (LA)","Nimes","Nimes","cesse","0","none","","","","","","","","","","","","","",""
"RESISTANCE REPUBLICAINE","Bayonne","Bayonne","cesse","1951","none","","Départemental","64","","","","","","","","","","",""
"REVEIL (LE)","Grenoble","Grenoble","none","0","none","","","","","","","","","","","","","",""
"ROUERGUE REPUBLICAIN","Rodez","Rodez","fusion","1958","none","1944","Départemental","12","true,true,CENTRE PRESSE","1958","Groupe Sud Ouest","none","oui","http://www.centrepresseaveyron.fr/arches/page3col.php?sk=qui-sommes-nous.sk","","","","",""
"ROUGE_MIDI (LE)","Marseille","Marseille","cesse","1948","none","1930","Départemental","6","none","","PCF","none","?","http://gallica.bnf.fr/ark:/12148/cb328629785/date","","","","",""
"SAMPIERO (LE)","Ajaccio","Ajaccio","cesse","1884","none","1883","Départemental","13,2A,2B","none","","none","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb32864678t","appeler : hebdomadaire","","","",""
"SOIR (LE)","Bordeaux","Bordeaux","cesse","0","none","","","","","","","","","","","","","",""
"MARSEILLE-SOIR","Marseille","Marseille","cesse","1944","none","1932","Départemental","13","none","","none","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb32811968k","","","","",""
"SUD_EST REPUBLICAIN","Lyon","Lyon","cesse","1944","none","?","Départemental","69","true,true,Le Nouveau Journal]","","none","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb32873587g","https://fr.wikipedia.org/wiki/La_Presse_r%C3%A9gionale","http://catalogue.bnf.fr/ark:/12148/cb32825635z","","",""
"SUD_OUEST","Bordeaux","Bordeaux","none","2016","SUD_OUEST","1944","Département","16,17,24,32,33,40,47,64","nonz","","Groupe Sud-Ouest","none","oui","http://www.sudouest.fr/","","","","",""
"TELEGRAMME DE BREST ET DE L'OUEST (LE)","Morlaix","Morlaix","none","2016","TELEGRAMME (LE)","1944","Départemental","22,29,56","false,true,TELEGRAMME (LE)","1947","Groupe Télégramme","","oui","http://www.letelegramme.fr/","","","","",""
"TRAVAILLEUR ALPIN (LE)","Grenoble","Grenoble","cesse","1947","none","","Département","","","","","","","http://www.pug.fr/produit/26/9782706120282/La%20presse%20grenobloise%20de%20la%20Liberation%20(1944-1952)","http://www.afsp.msh-paris.fr/activite/groupe/germm/germm03mischi.pdf","2000!!","","",""
"TRIBUNE DE L'ALLIER (LA)","Moulins","Moulins","cesse","1930","none","1927","Départemental","30","none","","none","none","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb32880950q","","","","",""
"TRIBUNE DE MULHOUSE (LA)","Mulhouse","Mulhouse","cesse","0","none","","","","","","","","","","","","","",""
"TRIBUNE DE SAONE ET LOIRE","Chalon","Chalon","cesse","1914","none","","","","","","","","","","","","","",""
"UNION (L')","Reims","Reims","none","2016","UNION (L') _ ARDENNAIS (L')","1944","Départemental","2,8,51","true,true,UNION (L') _ ARDENNAIS (L')","1992","Groupe Rossel","none","?","http://www.lunion.fr/","","","","",""
"UNION REPUBLICAINE (L')","Chalon","Chalon","cesse","0","none","","","","","","","","","","","","","",""
"VALMY","Moulins","Moulins","cesse","1952","none","","","","","","","","","","","","","",""
"VICTOIRE (LA)","Toulouse","Toulouse","cesse","0","none","","","","","","","","","","","","","",""
"VOIX DE L'OUEST (LA)","Rennes","Rennes","cesse","1946","none","","","","","","","","","http://www.bedetheque.com/revue-Voix-de-l-ouest.html","","","","",""
"VOIX DE LA PATRIE (LA)","Montpellier","Montpellier","cesse","1953","none","1942","Départemental","11,30,34,48,66","none","","none","none","?","http://gallica.bnf.fr/ark:/12148/cb328909293/date","","","","",""
"VOIX DU MIDI (LA)","Toulouse","Toulouse","cesse","1946","none","","","","","","","","","HEBDO","http://presselocaleancienne.bnf.fr/ark:/12148/cb34425259f","https://fr.wikipedia.org/wiki/Voix_du_Midi","","",""
"VOIX DU NORD (LA)","Lille","Lille","none","2016","VOIX DU NORD","1941","Départemental","59,62","none","","Groupe La Voix","none","oui","http://www.lavoixdunord.fr/","","","","",""
"VOIX DU PEUPLE (LA)","Lyon","Lyon","cesse","1955","none","1932","Départemental","69","none","","PCF","none","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb32891594p","","","","",""
"VOIX NOUVELLES","Périgueux","Perigueux","cesse","0","none","","","","","","","","","","","","","",""
"VOIX REPUBLICAINE (LA)","Le Puy en Velay","Le_Puy_en_Velay","cesse","1949","none","","","","","","","","","","","","","",""
"YONNE REPUBLICAINE (L')","Auxerre","Auxerre","none","2016","YONNE REPUBLICAINE (L')","1944","Départemental","58,77,89","none","","Groupe Centre-France La Montagne","none","oui","http://www.lyonne.fr/accueil.html","","","","",""
"AUBE (L')","Paris","National","cesse","1951","none","1932","National ","none","none","","none","none","","","","","","",""
"AURORE (L')","Paris","National","fusion","1985","none","1944","National ","none","true,true,Le Figaro","1985","Le Figaro","none","","","","","","",""
"CE SOIR","None","National","cesse","1953","none","1937","National ","none","none","","PCF","1940,1944","","","","","","",""
"CITE SOIR","National","National","cesse","1946","none","","","none","","","","none","","","","","","",""
"COMBAT","Paris","National","cesse","1974","none","1941","National ","none","none","","Combat_CNR","none","","","","","","",""
"COTE DESFOSSES (LA)","National","National","fusion","1992","LA TRIBUNE (web)","1824","National ","none","true,true,La Tribune","1992","","none","","","","","","",""
"LA CROIX","National","National","none","2016","LA CROIX","1883","National ","none","none","","Groupe Bayard Presse","none","","","","","","",""
"DEPECHE DE PARIS (LA)","National","National","cesse","","none","","","none","","","","","","","","","","",""
"ECHO (LES)","National","National","none","2016","ECHO (LES)","1908","National ","none","none","","LVMH","none","","","","","","",""
"EPOQUE (L')","National","National","cesse","1950","none","","","none","","","","","","","","","","",""
"ETOILE (L')","National","National","cesse","","none","","","none","","","","none","","hebodmaire canadien","","","","",""
"FIGARO (LE)","Paris","National","none","2016","FIGARO (LE)","1826","National ","none","none","","Dassault","none","","","","","","",""
"FRANC-TIREUR","None","National","cesse","1972","none","1941","National ","none","false,true, 'Paris Jour'","1957","Franc Tireur","none","","","","","","",""
"FRANCE LIBRE (LA)","Paris","National","cesse","1886","none","1884","National ","none","none","","gauche","none","","","","","","",""
"FRANCE SOIR","Paris","National","cesse","2011","France soir l'e-mag","1944","National ","none","false, true,France soir le mag","2013","","2011-2013","","BNF","","","","",""
"FRONT NATIONAL (LE)","National","National","cesse","1946","none","1944","National ","none","none","","Front national (Résistance)","none","","BNF","","","","",""
"L'HUMANITE","Saint-Denis","National","none","2016","L'HUMANITE","1904","National ","none","none","","PCF","none","","","","","","",""
"LIBERATION","Paris","National","none","2016","LIBERATION","1973","National ","none","none","","SFR","none","","","","","","",""
"LIBERATION SOIR","National","National","cesse","1964","none","1940","National ","none","none","","Libération en France occupée","none","","BNF","","","","",""
"MONDE (LE)","Paris","National","none","2016","MONDE (LE)","1944","National ","none","none","","Le Monde SA","none","","","","","","",""
"OPINION (L')","Paris","National","none","2016","OPINION (L')","2013","National ","none","none","","Bey medias SAS","none","","","","","","",""
"ORDRE (L')","National","National","cesse","1947","none","","","none","","","","none","","","","","","",""
"PARIS MATIN","National","National","fusion","1948","none","","","none","","","","none","","","","","","",""
"LE MATIN DE PARIS","Paris","National","cesse","1987","none","1987","National","none","none","","Resistance française","none","","","","","","",""
"LE MATIN","Paris","National","Cesse ","1944","none","1883","National","none","none","","Collaboration_Vichy","none","","","","","","",""
"PARIS PRESSE","Paris","National","cesse","1970","none","1944","National","none","true, true,France SOIR","1965","France soir","none","","","","","","",""
"AUJOURD'HUI EN FRANCE","National","National","none","2016","AUJOURD'HUI EN FRANCE","1944","National","none","none","","Le Parisien libéré - LVMH","none","oui","","","","","",""
"PAYS (LE)","Porrentruy","Porrentruy","fusion","1993","Quotidien jurassien","1923","?","none","true,true, 'Le Démocrate'","1993","","none","","","","","","",""
"POPULAIRE (LE)","Paris","National","cesse","1970","none","1927","National","none","none","","SFIO","none","","","","","","",""
"PRESENT (1982)","Paris","National","none","2016","PRESENT (1982)","1982","National","none","none","","Catholique traditionnalistes","none","oui","","","","","",""
"RESISTANCE","Paris","National","cesse","1944","none","1940","National","none","none","","Résistance française","none","","","","","","",""
"SANS FIL","National","National","cesse","","none","","","none","","","","none","","","","","","",""
"VIE FRANçAISE (LA)","Paris","National","cesse","2008","VIE FINANCIERE (LA)","1945","National","none","true, true,VIE FINANCIERE(LA)","1994","","none","","serait hebdo","","","","",""
"AGENCE QUOTIDIENNE D'INFORMATIONS ECONOMIQUES ET FINANCIERES","Paris","National","hebdomadaire + web","2016","L'AGEFI HEBDO (web)","1911","National","none","false, true,L'AGEFI HEBDO","2005","Artemis","none","","","","","","",""
"BULLETIN ECONOMIQUE","Paris","National","cesse","1946","none","","","none","","","","none","","","","","","",""
