"VAR_ID","VAR_LIB","VAR_LIB_LONG","min","max"
"P15_NPER_RP_LOC","Pers Rés princ occupées Locataires en 2015 (princ)","Nombre de personnes des résidences principales occupées par des locataires","0","4419"
"P15_NPER_RP_LOCHLMV","Pers Rés princ HLM louées vides en 2015 (princ)","Nombre de personnes des résidences principales HLM louées vides","0","3332"
"P15_NPER_RP_GRAT","Pers Rés princ occupées gratuit en 2015 (princ)","Nombre de personnes des résidences principales occupées gratuitement","0","836"
"P15_ANEM_RP","Anc tot Emméngt Rés princ (années) en 2015 (princ)","Ancienneté totale d'emménagement dans les résidences principales en années","0","40416"
"P15_ANEM_RP_PROP","Anc tot Emméngt Rés princ occ par Propriétaires (années) en 2015 (princ)","Ancienneté totale d'emménagement dans les résidences principales occupées par des propriétaires en années","0","36194"
"P15_ANEM_RP_LOC","Anc tot Emméngt Rés princ occ par Locataires (années) en 2015 (princ)","Ancienneté totale d'emménagement dans les résidences principales occupées par des locataires en années","0","18013"
"P15_ANEM_RP_LOCHLMV","Anc tot Emméngt Rés princ HLM louées vides (années) en 2015 (princ)","Ancienneté totale d'emménagement dans les résidences principales HLM louées vides en années","0","15763"
"P15_ANEM_RP_GRAT","Anc tot Emméngt Rés princ occ gratuit (années) en 2015 (princ)","Ancienneté totale d'emménagement dans les résidences principales occupées gratuitement en années","0","5783"
"P15_RP_SDB","Rés princ SDB baignoire douche (MET) en 2015 (princ)","Nombre de résidences principales avec salle de bain dotée de baignoire ou douche (variable spécifique à la France métropolitaine)","0","2850"
"P15_RP_CCCOLL","Rés princ Chauffage Central Collectif (MET) en 2015 (princ)","Nombre de résidences principales avec chauffage central collectif (variable spécifique à la France métropolitaine)","0","1356"
"P15_RP_CCIND","Rés princ Chauffage Central Individuel (MET) en 2015 (princ)","Nombre de résidences principales avec chauffage central individuel (variable spécifique à la France métropolitaine)","0","1546"
"P15_RP_CINDELEC","Rés princ Chauffage Individuel Electrique (MET) en 2015 (princ)","Nombre de résidences principales avec chauffage individuel électrique (variable spécifique à la France métropolitaine)","0","1755"
"P15_RP_ELEC","Rés princ avec électricité (DOM) en 2015 (princ)","Nombre de résidences principales avec électricité dans le logement (variable spécifique aux Départements d'outre-mer)","0","0"
"P15_RP_EAUCH","Rés princ avec eau chaude (DOM) en 2015 (princ)","Nombre de résidences principales avec eau chaude dans le logement (variable spécifique aux Départements d'outre-mer)","0","0"
"P15_RP_BDWC","Rés princ avec Bain/Douche WC (DOM) en 2015 (princ)","Nombre de résidences principales avec baignoire ou douche et WC à l'intérieur du logement (variable spécifique aux Départements d'outre-mer)","0","0"
"P15_RP_CHOS","Rés princ avec chauffe-eau solaire (DOM) en 2015 (princ)","Nombre de résidences principales avec chauffe-eau solaire (variable spécifique aux Départements d'outre-mer)","0","0"
"P15_RP_CLIM","Rés princ avec pièce climatisée (DOM) en 2015 (princ)","Nombre de résidences principales avec pièce climatisée (variable spécifique aux Départements d'outre-mer)","0","0"
"P15_RP_TTEGOU","Rés princ avec tout à l'égout (DOM) en 2015 (princ)","Nombre de résidences principales avec tout à l'égout (variable spécifique aux Départements d'outre-mer)","0","0"
"P15_RP_GARL","Ménages au moins un parking en 2015 (princ)","Nombre de ménages disposant au moins d'un emplacement réservé au stationnement","0","1598"
"P15_RP_VOIT1P","Ménages au moins une voiture en 2015 (princ)","Nombre de ménages disposant au moins d'une voiture","0","1832"
"P15_RP_VOIT1","Ménages une voiture en 2015 (princ)","Nombre de ménages disposant d'une voiture","0","1316"
"P15_RP_VOIT2P","Ménages deux voitures ou plus en 2015 (princ)","Nombre de ménages disposant de deux voitures ou plus","0","969"
